variety,altitude_range_m,yield_kg_ha,days_to_maturity,,,
H6213,1700-2100,4680,175,,,
H6212,1700-2100,4680,175,,,
H6210,1700-2100,4500,175,,,
H9401,1700-2100,4320,175,,,
H629,1700-2400,4320,175,,,
H628,1500-2100,4140,165,,,
H627,1500-2100,3960,165,,,
H626,1500-2100,3780,165,,,
H625,1500-2100,3600,165,,,
H614,1500-2100,3420,175,,,
H624,1000-1800,2880,160,,,
H623,1000-1800,2520,165,,,
H516,1000-1800,2520,120,,,
H515,1000-1800,2340,135,,,
H513,1000-1800,2160,125,,,
H511,1000-1800,2070,125,,,
PH4,0-1200,1800,105,,,
PH1,0-1200,1350,97.5,,,
DH01,800-1200,1350,110,,,
DH02,800-1200,1350,110,,,
DH03,800-1200,1350,110,,,
DH04,800-1200,1710,110,,,
Katumani Composite,1000-1900,1350,97.5,,,
DLC1,1000-1900,1170,97.5,,,
