,kc,LAI,stress,R,s,I,E,ET,T,L,dsdt,dos,doy
60,0.3,0.75,0.9734925904181929,0.0,0.5333356797160622,0.0,0.3858876823406239,0.40189894497772244,0.01601126263709851,0.0,-0.40189894497772244,1.0,60
61,0.3,0.75,0.9902250773094046,0.0,0.5312248659294145,0.0,0.3751576199436489,0.3810369764048385,0.005879356461189644,0.0,-0.3810369764048385,2.0,61
62,0.3,0.75,1.0,0.0,0.5292236213054395,0.0,0.36507810935913737,0.36507810935913737,0.0,0.0,-0.36507810935913737,3.0,62
63,0.3,0.75,1.0,0.0,0.5273061942604861,0.0,0.3555069735313838,0.3555069735313838,0.0,0.0,-0.3555069735313838,4.0,63
64,0.3,0.75,1.0,0.0,0.5254390357860566,0.0,0.3462685706250532,0.3462685706250532,0.0,0.0,-0.3462685706250532,5.0,64
65,0.3,0.75,1.0,0.0,0.5236203983352947,0.0,0.3373485297840706,0.3373485297840706,0.0,0.0,-0.3373485297840706,6.0,65
66,0.3,0.75,1.0,0.0,0.5218486098385297,0.0,0.32873322013772943,0.32873322013772943,0.0,0.0,-0.32873322013772943,7.0,66
67,0.3,0.75,1.0,0.0,0.5201220698167979,0.0,0.3204097066469505,0.3204097066469505,0.0,0.0,-0.3204097066469505,8.0,67
68,0.3,0.75,1.0,0.0,0.5184392457272655,0.0,0.3123657089406099,0.3123657089406099,0.0,0.0,-0.3123657089406099,9.0,68
69,0.3,0.75,1.0,0.0,0.5167986695248463,0.0,0.30458956291575,0.30458956291575,0.0,0.0,-0.30458956291575,10.0,69
70,0.3,0.75,1.0,2.4286238876064608,0.5151989344254989,0.75,0.33927852860027136,0.33927852860027136,0.0,0.0,1.3393453590061895,11.0,70
71,0.3,0.75,1.0,0.0,0.5222333113110357,0.0,0.33059750918502984,0.33059750918502984,0.0,0.0,-0.33059750918502984,12.0,71
72,0.3,0.75,1.0,0.0,0.5204969798552319,0.0,0.3222110657024318,0.3222110657024318,0.0,0.0,-0.3222110657024318,13.0,72
73,0.3,0.75,1.0,0.0,0.5188046948462905,0.0,0.3141067775647482,0.3141067775647482,0.0,0.0,-0.3141067775647482,14.0,73
