,kc,LAI,stress,R,s,I,E,ET,T,L,dsdt,dos,doy
60,0.3,0.75,1.0,0.0,0.42078892818374014,0.0,0.0002241130480457638,0.0002241130480457638,0.0,0.0,-0.0002241130480457638,1.0,60
61,0.3,0.75,1.0,0.0,0.4207877511194122,0.0,0.00022361167720953386,0.00022361167720953386,0.0,0.0,-0.00022361167720953386,2.0,61
62,0.3,0.75,1.0,0.0,0.4207865766883344,0.0,0.00022311180118755614,0.00022311180118755614,0.0,0.0,-0.00022311180118755614,3.0,62
63,0.3,0.75,1.0,0.0,0.4207854048826559,0.0,0.00022261341441184949,0.00022261341441184949,0.0,0.0,-0.00022261341441184949,4.0,63
64,0.3,0.75,1.0,0.0,0.42078423569455503,0.0,0.00022211651133928763,0.00022211651133928763,0.0,0.0,-0.00022211651133928763,5.0,64
65,0.3,0.75,1.0,0.0,0.4207830691162392,0.0,0.0002216210864515019,0.0002216210864515019,0.0,0.0,-0.0002216210864515019,6.0,65
66,0.3,0.75,1.0,0.0,0.4207819051399448,0.0,0.00022112713425471333,0.00022112713425471333,0.0,0.0,-0.00022112713425471333,7.0,66
67,0.3,0.75,1.0,0.0,0.42078074375793717,0.0,0.0002206346492796828,0.0002206346492796828,0.0,0.0,-0.0002206346492796828,8.0,67
68,0.3,0.75,1.0,11.152674805829752,0.4207795849625103,0.75,0.13193426706479572,0.13193426706479572,0.0,0.0,10.270740538764956,9.0,68
69,0.3,0.75,1.0,0.0,0.4747225499770321,0.0,0.12946739968997034,0.12946739968997034,0.0,0.0,-0.12946739968997034,10.0,69
70,0.3,0.75,1.0,7.1744540157452565,0.4740425741383243,0.75,0.2630494254129365,0.2630494254129365,0.0,0.0,6.16140459033232,11.0,70
71,0.3,0.75,1.0,0.0,0.5064028923648596,0.0,0.25686406836849696,0.25686406836849696,0.0,0.0,-0.25686406836849696,12.0,71
72,0.3,0.75,1.0,0.0,0.5050538163755293,0.0,0.2508716830579551,0.2508716830579551,0.0,0.0,-0.2508716830579551,13.0,72
73,0.3,0.75,1.0,0.0,0.503736212998124,0.0,0.24506478518761235,0.24506478518761235,0.0,0.0,-0.24506478518761235,14.0,73
74,0.3,0.75,1.0,0.0,0.5024491080339033,0.0,0.23943623676283557,0.23943623676283557,0.0,0.0,-0.23943623676283557,15.0,74
75,0.3,0.75,1.0,0.0,0.5011915647735943,0.0,0.2339792275076378,0.2339792275076378,0.0,0.0,-0.2339792275076378,16.0,75
76,0.3,0.75,1.0,0.0,0.49996268227618024,0.0,0.22868725741649218,0.22868725741649218,0.0,0.0,-0.22868725741649218,17.0,76
77,0.3,0.75,1.0,0.0,0.49876159373932893,0.0,0.2235541203612496,0.2235541203612496,0.0,0.0,-0.2235541203612496,18.0,77
78,0.3,0.75,1.0,0.0,0.497587464955919,0.0,0.21857388868183777,0.21857388868183777,0.0,0.0,-0.21857388868183777,19.0,78
79,0.3,0.75,1.0,0.0,0.4964394928514976,0.0,0.2137408986947361,0.2137408986947361,0.0,0.0,-0.2137408986947361,20.0,79
80,0.3,0.75,1.0,0.0,0.49531690409784873,0.0,0.20904973705811386,0.20904973705811386,0.0,0.0,-0.20904973705811386,21.0,80
