,kc,LAI,stress,R,s,I,E,ET,T,L,dsdt,dos,doy
60,0.3,0.75,1.0,0.0,0.457624679932873,0.0,0.0738108415265656,0.0738108415265656,0.0,0.0,-0.0738108415265656,1.0,60
61,0.3,0.75,1.0,0.0,0.4572370179500654,0.0,0.07267303148901276,0.07267303148901276,0.0,0.0,-0.07267303148901276,2.0,61
62,0.3,0.75,1.0,0.0,0.4568553318603122,0.0,0.07155853235965225,0.07155853235965225,0.0,0.0,-0.07155853235965225,3.0,62
63,0.3,0.75,1.0,0.0,0.45647949923237285,0.0,0.07046674930288559,0.07046674930288559,0.0,0.0,-0.07046674930288559,4.0,63
64,0.3,0.75,1.0,0.0,0.4561094007591434,0.0,0.06939710562777143,0.06939710562777143,0.0,0.0,-0.06939710562777143,5.0,64
65,0.3,0.75,1.0,0.0,0.4557449201623589,0.0,0.06834904214488273,0.06834904214488273,0.0,0.0,-0.06834904214488273,6.0,65
66,0.3,0.75,1.0,0.0,0.45538594410067357,0.0,0.06732201654910915,0.06732201654910915,0.0,0.0,-0.06732201654910915,7.0,66
67,0.3,0.75,1.0,0.0,0.45503236208098286,0.0,0.06631550282723349,0.06631550282723349,0.0,0.0,-0.06631550282723349,8.0,67
68,0.3,0.75,1.0,0.0,0.45468406637285663,0.0,0.06532899068916649,0.06532899068916649,0.0,0.0,-0.06532899068916649,9.0,68
69,0.3,0.75,1.0,0.0,0.45434095192595975,0.0,0.06436198502178267,0.06436198502178267,0.0,0.0,-0.06436198502178267,10.0,69
70,0.3,0.75,1.0,0.0,0.4540029162903411,0.0,0.06341400536435074,0.06341400536435074,0.0,0.0,-0.06341400536435074,11.0,70
71,0.3,0.75,1.0,0.0,0.4536698595394779,0.0,0.06248458540460198,0.06248458540460198,0.0,0.0,-0.06248458540460198,12.0,71
72,0.3,0.75,1.0,0.0,0.4533416841959664,0.0,0.06157327249452659,0.06157327249452659,0.0,0.0,-0.06157327249452659,13.0,72
73,0.3,0.75,1.0,0.0,0.4530182951597556,0.0,0.060679627185032836,0.060679627185032836,0.0,0.0,-0.060679627185032836,14.0,73
74,0.3,0.75,1.0,0.0,0.45269959963882583,0.0,0.05980322277864663,0.05980322277864663,0.0,0.0,-0.05980322277864663,15.0,74
75,0.3,0.75,1.0,0.0,0.4523855070822153,0.0,0.05894364489946594,0.05894364489946594,0.0,0.0,-0.05894364489946594,16.0,75
76,0.3,0.75,1.0,0.0,0.45207592911530636,0.0,0.05810049107962613,0.05810049107962613,0.0,0.0,-0.05810049107962613,17.0,76
77,0.3,0.75,1.0,0.0,0.4517707794772831,0.0,0.057273370361564914,0.057273370361564914,0.0,0.0,-0.057273370361564914,18.0,77
78,0.3,0.75,1.0,0.0,0.45146997396067823,0.0,0.056461902915410714,0.056461902915410714,0.0,0.0,-0.056461902915410714,19.0,78
79,0.3,0.75,1.0,0.0,0.45117343035292923,0.0,0.05566571967085041,0.05566571967085041,0.0,0.0,-0.05566571967085041,20.0,79
80,0.3,0.75,1.0,0.0,0.450881068379868,0.0,0.05488446196286147,0.05488446196286147,0.0,0.0,-0.05488446196286147,21.0,80
81,0.3,0.75,1.0,0.0,0.45059280965107146,0.0,0.05411778119072492,0.05411778119072492,0.0,0.0,-0.05411778119072492,22.0,81
82,0.3,0.75,1.0,0.0,0.45030857760700255,0.0,0.05336533848975993,0.05336533848975993,0.0,0.0,-0.05336533848975993,23.0,82
83,0.3,0.75,1.0,1.4298338361693284,0.45002829746787565,0.75,0.0622870294773694,0.0622870294773694,0.0,0.0,0.6175468066919589,24.0,83
