,kc,LAI,stress,R,s,I,E,ET,T,L,dsdt,dos,doy
60,0.3,0.75,1.0,0.0,0.47439125911984736,0.0,0.12829348553571923,0.12829348553571923,0.0,0.0,-0.12829348553571923,1.0,60
61,0.3,0.75,1.0,0.0,0.47371744879665556,0.0,0.12591689429236902,0.12591689429236902,0.0,0.0,-0.12591689429236902,2.0,61
62,0.3,0.75,1.0,0.0,0.4730561205703301,0.0,0.12359877680865554,0.12359877680865554,0.0,0.0,-0.12359877680865554,3.0,62
63,0.3,0.75,1.0,0.0,0.47240696733078885,0.0,0.12133734247475692,0.12133734247475692,0.0,0.0,-0.12133734247475692,4.0,63
64,0.3,0.75,1.0,0.0,0.47176969137241304,0.0,0.1191308661776764,0.1191308661776764,0.0,0.0,-0.1191308661776764,5.0,64
65,0.3,0.75,1.0,0.0,0.4711440040500513,0.0,0.11697768551961639,0.11697768551961639,0.0,0.0,-0.11697768551961639,6.0,65
66,0.3,0.75,1.0,0.0,0.47052962544963317,0.0,0.11487619817069676,0.11487619817069676,0.0,0.0,-0.11487619817069676,7.0,66
67,0.3,0.75,1.0,0.0,0.4699262840726862,0.0,0.11282485934875507,0.11282485934875507,0.0,0.0,-0.11282485934875507,8.0,67
68,0.3,0.75,1.0,0.0,0.46933371653408984,0.0,0.11082217941940112,0.11082217941940112,0.0,0.0,-0.11082217941940112,9.0,68
69,0.3,0.75,1.0,0.0,0.46875166727243334,0.0,0.10886672160989998,0.10886672160989998,0.0,0.0,-0.10886672160989998,10.0,69
70,0.3,0.75,1.0,0.0,0.46817988827238133,0.0,0.10695709983084291,0.10695709983084291,0.0,0.0,-0.10695709983084291,11.0,70
71,0.3,0.75,1.0,0.0,0.46761813879847985,0.0,0.10509197659991505,0.10509197659991505,0.0,0.0,-0.10509197659991505,12.0,71
72,0.3,0.75,1.0,0.0,0.46706618513986686,0.0,0.10327006106240276,0.10327006106240276,0.0,0.0,-0.10327006106240276,13.0,72
73,0.3,0.75,1.0,0.0,0.46652380036537944,0.0,0.10149010710339539,0.10149010710339539,0.0,0.0,-0.10149010710339539,14.0,73
74,0.3,0.75,1.0,0.0,0.46599076408857587,0.0,0.0997509115469258,0.0997509115469258,0.0,0.0,-0.0997509115469258,15.0,74
75,0.3,0.75,1.0,0.0,0.46546686224221595,0.0,0.09805131243756605,0.09805131243756605,0.0,0.0,-0.09805131243756605,16.0,75
76,0.3,0.75,1.0,0.0,0.46495188686176653,0.0,0.09639018740025257,0.09639018740025257,0.0,0.0,-0.09639018740025257,17.0,76
77,0.3,0.75,1.0,0.0,0.4644456358775215,0.0,0.09476645207435277,0.09476645207435277,0.0,0.0,-0.09476645207435277,18.0,77
78,0.3,0.75,1.0,2.1585375644048432,0.46394791291494614,0.75,0.11767033260382757,0.11767033260382757,0.0,0.0,1.2908672318010157,19.0,78
79,0.3,0.75,1.0,0.0,0.47072767778785063,0.0,0.11555225044794286,0.11555225044794286,0.0,0.0,-0.11555225044794286,20.0,79
80,0.3,0.75,1.0,0.0,0.4701207857161703,0.0,0.11348481171515824,0.11348481171515824,0.0,0.0,-0.11348481171515824,21.0,80
81,0.3,0.75,1.0,0.0,0.4695247520411957,0.0,0.11146650913969258,0.11146650913969258,0.0,0.0,-0.11146650913969258,22.0,81
82,0.3,0.75,1.0,0.0,0.46893931869487376,0.0,0.10949588904683057,0.10949588904683057,0.0,0.0,-0.10949588904683057,23.0,82
83,0.3,0.75,1.0,0.0,0.46836423524399756,0.0,0.10757154914027248,0.10757154914027248,0.0,0.0,-0.10757154914027248,24.0,83
84,0.3,0.75,1.0,0.0,0.4677992586203617,0.0,0.10569213639338855,0.10569213639338855,0.0,0.0,-0.10569213639338855,25.0,84
85,0.3,0.75,1.0,0.0,0.46724415286199306,0.0,0.1038563450389166,0.1038563450389166,0.0,0.0,-0.1038563450389166,26.0,85
86,0.3,0.75,1.0,0.0,0.4666986888649399,0.0,0.10206291465195769,0.10206291465195769,0.0,0.0,-0.10206291465195769,27.0,86
87,0.3,0.75,1.0,0.0,0.4661626441451292,0.0,0.10031062832142129,0.10031062832142129,0.0,0.0,-0.10031062832142129,28.0,87
88,0.30357142857142855,0.75,1.0,0.0,0.4656358026098276,0.0,0.09859831090535215,0.09859831090535215,0.0,0.0,-0.09859831090535215,29.0,88
89,0.3214285714285714,0.75,1.0,0.0,0.4651179543382659,0.0,0.09692482736582961,0.09692482736582961,0.0,0.0,-0.09692482736582961,30.0,89
90,0.33928571428571425,0.75,1.0,27.198225469987598,0.4646088953710084,0.75,0.7951108287872933,1.1479955132064765,0.35288468441918325,0.0,25.30022995678112,31.0,90
91,0.3571428571428571,0.75,0.5329685965830891,0.0,0.597488254387716,0.0,0.7562499566075763,1.0801935776686131,0.32394362106103675,0.0,-1.0801935776686131,32.0,91
92,0.37499999999999994,0.75,0.566617695539821,10.761122069717137,0.591814968790717,0.75,1.075050665456092,1.624143744299865,0.5490930788437728,0.0,8.386978325417273,33.0,92
93,0.3928571428571428,0.75,0.33240194753429336,0.0,0.635864224701522,0.0,1.0143362448652462,1.522484523432552,0.5081482785673056,0.0,-1.522484523432552,34.0,93
94,0.41071428571428564,0.75,0.3703064121891907,0.0,0.6278679824566031,0.0,0.9585004847967633,1.4282668005884582,0.4697663157916949,0.0,-1.4282668005884582,35.0,94
95,0.4285714285714285,0.75,0.40772525440013496,0.0,0.6203665811930082,0.0,0.9070868427352654,1.3408464324617049,0.43375958972643947,0.0,-1.3408464324617049,36.0,95
96,0.4464285714285714,0.75,0.44449251409090546,46.56784956619168,0.6133243205183144,0.75,2.891291779237324,4.091291779237324,1.2,3.279437560242778,38.44712022671158,37.0,96
97,0.4642857142857142,0.75,0.0,0.0,0.8152524729695307,0.0,2.513175569886762,3.7131755698867623,1.2,0.0,-3.7131755698867623,38.0,97
98,0.4821428571428571,0.75,0.0,7.659413135132137,0.7957505004386128,0.75,2.6749711966196466,3.8749711966196463,1.2,1.0310112944854894,2.0034306440270013,39.0,98
99,0.4999999999999999,0.75,0.0,0.0,0.8062727202076622,0.0,2.428018506123295,3.6280185061232952,1.2,0.0,-3.6280185061232952,40.0,99
100,0.5178571428571428,0.75,0.0,0.0,0.787218001162897,0.0,2.2505925611861093,3.4505925611861095,1.2,0.0,-3.4505925611861095,41.0,100
101,0.5357142857142856,0.75,0.0019026551716121527,0.0,0.7690951410726338,0.0,2.0860592607092165,3.233715937857858,1.1476566771486418,0.0,-3.233715937857858,42.0,101
102,0.5535714285714285,0.75,0.012444438706842139,0.0,0.7521113388780022,0.0,1.9356930500088987,3.0018274766233093,1.0661344266144104,0.0,-3.0018274766233093,43.0,102
103,0.5714285714285714,0.75,0.03049153216372159,0.0,0.7363454382654848,0.0,1.7995060039362492,2.789964107610576,0.990458103674327,0.0,-2.789964107610576,44.0,103
104,0.5892857142857142,0.75,0.05439667056836517,0.0,0.7216922654313956,0.0,1.675935112157177,2.596057986227876,0.9201228740706989,0.0,-2.596057986227876,45.0,104
105,0.607142857142857,0.75,0.0828115565538203,0.0,0.7080575071003669,0.0,1.5636146558581128,2.4182906899398735,0.8546760340817607,0.0,-2.4182906899398735,46.0,105
106,0.6249999999999999,0.75,0.11463262288475408,2.6590005677788193,0.6953564005355566,0.75,1.5418861847632943,2.3837229720678854,0.8418367873045911,0.0,-0.4747224042890661,47.0,106
107,0.6428571428571428,0.75,0.12148539991711313,0.0,0.6928631105970636,0.0,1.4415449006293064,2.223287831495212,0.7817429308659053,0.0,-2.223287831495212,48.0,107
108,0.6607142857142856,0.75,0.15622674045020635,0.0,0.6811861787089585,0.0,1.350007629220078,2.0757012870230787,0.7256936578030005,0.0,-2.0757012870230787,49.0,108
109,0.6785714285714284,0.75,0.1926002544609473,2.6633995788904463,0.6702843862350978,0.75,1.3434040597521864,2.065006077854364,0.7216020181021781,0.0,-0.15160649896391787,50.0,109
110,0.6964285714285713,0.75,0.19540596179214467,21.174365687655712,0.669488133614489,0.75,2.1551290089097477,3.339572025578346,1.1844430166685984,0.0,17.084793662077367,51.0,110
111,0.7142857142857142,0.75,0.006909471190040064,5.182029730654982,0.759219192764055,0.75,2.2073283914451025,3.4073283914451027,1.2,0.0,1.0247013392098792,52.0,111
