,kc,LAI,stress,R,s,I,E,ET,T,L,dsdt,dos,doy
60,0.3,0.75,1.0,0.0,0.5191293465420876,0.0,0.31565618298139825,0.31565618298139825,0.0,0.0,-0.31565618298139825,1.0,60
61,0.3,0.75,1.0,12.620183984050916,0.5174714884381938,0.75,0.646155139273535,0.8852666195092412,0.23911148023570625,0.0,10.984917364541674,2.0,61
62,0.3,0.75,0.6713155306536475,0.0,0.5751653821595262,0.0,0.6181632587055205,0.834957093071246,0.2167938343657255,0.0,-0.834957093071246,3.0,62
63,0.3,0.75,0.7003674427398598,0.0,0.570780103309362,0.0,0.5921435327683265,0.7878880286532641,0.19574449588493756,0.0,-0.7878880286532641,4.0,63
64,0.3,0.75,0.7283459332999983,0.0,0.5666420359319815,0.0,0.5679350317990864,0.7438168042725974,0.17588177247351097,0.0,-0.7438168042725974,5.0,64
65,0.3,0.75,0.755262258793081,0.0,0.5627354350692052,0.0,0.5453918455669515,0.7025219338991364,0.15713008833218484,0.0,-0.7025219338991364,6.0,65
66,0.3,0.75,0.781132708464795,1.7924994519243793,0.559045719029819,0.75,0.5556579259268953,0.7213588760580361,0.1657009501311407,0.0,0.32114057586634326,7.0,66
67,0.3,0.75,0.7692526148316217,0.0,0.5607323817181927,0.0,0.5339517226816718,0.6814671549289968,0.14751543224732497,0.0,-0.6814671549289968,8.0,67
68,0.3,0.75,0.7945708015886913,0.0,0.5571532475011287,0.0,0.5137124350030703,0.644048023008488,0.1303355880054177,0.0,-0.644048023008488,9.0,68
69,0.3,0.75,0.8188755562886306,0.0,0.553770642338269,0.0,0.49482559355621025,0.6089246767799014,0.11409908322369108,0.0,-0.6089246767799014,10.0,69
70,0.3,0.75,0.8421915814633436,0.0,0.5505725085316518,0.0,0.4771869489691319,0.5759349899210606,0.09874804095192875,0.0,-0.5759349899210606,11.0,70
71,0.3,0.75,0.864545595552855,10.138898827965079,0.5475476398871084,0.75,0.7522323216303416,1.0731559215245565,0.3209235998942148,0.0,8.315742906440523,12.0,71
72,0.3,0.75,0.5701895403000871,0.0,0.591222760194044,0.0,0.7165610148653193,1.0104302637967302,0.29386924893141086,0.0,-1.0104302637967302,13.0,72
73,0.3,0.75,0.6026983391441969,0.0,0.5859158785564561,0.0,0.6835068355480065,0.9519030526189957,0.26839621707098915,0.0,-0.9519030526189957,14.0,73
74,0.3,0.75,0.6341485547668461,0.0,0.5809163877338773,0.0,0.652846902612097,0.897245563734708,0.24439866112261102,0.0,-0.897245563734708,15.0,74
75,0.3,0.75,0.6645251915336878,0.0,0.5762039635545984,0.0,0.6243800381644943,0.8461590632265662,0.22177902506207195,0.0,-0.8461590632265662,16.0,75
76,0.3,0.75,0.6938233556377074,0.0,0.5717598508275681,0.0,0.5979243940410545,0.7983716780133812,0.20044728397232667,0.0,-0.7983716780133812,17.0,76
77,0.3,0.75,0.7220463598170744,0.0,0.5675667222665735,0.0,0.57331536603956,0.7536356329191125,0.18032026687955244,0.0,-0.7536356329191125,18.0,77
78,0.3,0.75,0.7492041407956908,0.0,0.5636085519256118,0.0,0.5504037575465585,0.7117248067894948,0.16132104924293636,0.0,-0.7117248067894948,19.0,78
79,0.3,0.75,0.7753119379706261,0.0,0.5598705014697846,0.0,0.5290541598224074,0.6724325668773732,0.14337840705496577,0.0,-0.6724325668773732,20.0,79
80,0.3,0.75,0.8003891906249184,0.0,0.5563388178202185,0.0,0.5091435208879895,0.6355698464250384,0.12642632553704888,0.0,-0.6355698464250384,21.0,80
