ResponseID,P1_name,P2_name,P3_name,P4_name,P5_name,P1_type,P2_type,P3_type,P4_type,P5_type
R_n8qXfXqWdAkCwPu,ksc11,,,,,3,,,,
R_7pBzoY7lev1DQsu,Ac4,Ac4,,,,2,2,,,
R_idNfQvYJW9yccnK,ksc13,Dk3,,,,3,2,,,
R_fT2eCEXKFTiIvCL,Olerai “E”,AC3,,,,1,2,,,
R_1EGHDwpkpeHZCmM,Local “M”,,,,,2,,,,
R_mifWlriD7mZa22t,Local seed “E”,,,,,1,,,,
R_k7L15XlBLGpg311,,,,,,,,,,
R_1JxeLmNwSlo9d4h,,,,,,,,,,
R_1Kl03BDSTrzp8Yy,Ac13m,,,,,2,,,,
R_5bbizd1VHvBd4Dd,AC3,KSC22,,,,2,2,,,
R_k2Su5R6X4w8xVra,E,,,,,1,,,,
R_o2BUgbuDWdvGst3,KSC22,KSC13,,,,2,3,,,
R_mkhnj9W3l1XdysO,KSC18,,,,,2,,,,
R_0uwPqBjTsUJsqAY,Ksc13l,Ksc13l,,,,3,3,,,
R_3kQVBXiDl7Yr3Wr,Ksc7l,Ksc6l,,,,3,3,,,
R_2aVvMQkjOjEJ5wP,Ksc13l,Ksc22e,,,,3,1,,,
R_j78itdT7MWhy3qL,KSC13,,,,,3,,,,
R_eHWyhRy0lpz3iuE,KSC517,KSC514,,,,3,2,,,
R_4I70bpsh6XRljXA,KSC9,KSC9 ,,,,3,3,,,
R_gkghxWnBZhTw9Iz,KSC13,,,,,3,,,,
R_35djSPmScF7Gg5H,KSC13,KSC18,,,,3,2,,,
R_cPBFKb51XJqSCac,KSC13,KSC7,,,,3,3,,,
R_fniwNYmifAGq17j,DS2,KSC15,,,,1,2,,,
R_iv9ah1b7u4KXbML,ACL,,,,,3,,,,
R_lM3Bx0dstTfBD3Z,AC3,KSC13,M,,,2,3,2,,
R_bBuIEJEIS0r8CDb,KSC17,,,,,2,,,,
R_fRGf8SFIukYL940,Ksc13,,,,,3,,,,
R_onHc9Igm4jAV4CA,ksc7,H518,,,,3,2,,,
R_lJSdwgVhBbYvs6S,ksc17,ksc10,,,,2,3,,,
R_jxYQvQVXxLRjfBY,ksc13,,,,,3,,,,
R_67HBqb5YySkkdDo,KSC7,KSC6,,,,3,3,,,
R_aDJFf5IQ1OieLAc,KSC13,,,,,3,,,,
R_7yxS98PbBEvREOp,KSC15,KSC13,PO3,,,2,3,3,,
R_6ecAAMHiZZo9oRO,KSC13,KSC14,KSC26,KSC5,,3,3,3,,
R_788pFHkHvAjeGZ7,DK4,Dk3,,,,3,2,,,
R_87n8hBe70zOuat1,Ksc13,,,,,3,,,,
