VARIETY,YIELD PER ACRE (BAGS),No_Bags (used avg),Yield_kg,ALTITUDE  RANGE (M),DAYS TO MATURITY,DTM_Avg
H6218,56 x 90 kg,56,5040,1500-2800,160-210,185
H6213,52 x 90kg,52,4680,1500-2800,160-210,185
H6212,52 x 90kg,52,4680,1700-2100,160 – 190,175
H6210,50 x 90kg,50,4500,1500-2800,160-210,185
H9401,48 x 90kg,48,4320,1700-2100,160 – 190,175
H629,48 x 90kg,48,4320,1500-2800,160-210,185
H628,46 x 90kg,46,4140,1500-2800,160-210,185
H627,44 x 90kg,44,3960,1500-2100,150 – 180,165
H626,42 x 90kg,42,3780,1500-2800,160-210,185
H625,40 x 90kg,40,3600,1500-2800,160-210,185
H614,38 x 90kg,38,3420,1500-2800,160-210,185
H624,32 x 90kg,32,2880,1000-1800,120-130,125
H623,28 x 90kg,28,2520,1000-1800,140 – 190,165
H516,28 x 90kg,28,2520,1000-1800,100-110,105
H515,24 x 90kg,24,2160,1000-1800,100-110,105
H513,24 x 90kg,24,2160,1000-1800,100-150,125
H511,23 x 90kg,23,2070,1000-1800,100 – 150,125
PH4,16 x 90kg,16,1440,0-1200,75-120,97.5
PH1,16 x 90kg,16,1440,0-1200,75-120,97.5
DH01,16 x 90kg,16,1440,500-1300,70-90,80
DH02,18 x 90kg,18,1620,500-1300,70-100,85
DH03,22 x 90kg,22,1980,500-1300,80-120,100
DH04,24 x 90kg,24,2160,500-1300,80-120,100
Katumani Composite,15 x 90 kg,15,1350,1000-1900,75 – 120,97.5
DLC1,13 x 90kg,13,1170,1000-1900,75 – 120,97.5
H6243,32 x 90kg,32,2880,,,
H520,32 x 90kg,32,2880,1000-1800,120-130,125
H517,30 x 90kg,30,2700,,,
H522,28 x 90kg,28,2520,1000-1800,100-110,105
ADC 600-23A,43-68  bags per acre,55.5,4995,1700-2300,,
KH 600-14E,45-50 per acre,47.5,4275,1700-2300,,
KH 600-15A,33-47 per acre,40,3600,1700-2300,145-148,146.5
KH 600-16A,35-50 per acre,42.5,3825,1700-2300,140-180,160
EA 600-15A,35-45 per acre,40,3600,1700-2300,,
WH 507,35 bags per acre,35,3150,1200-1600,120 - 135,127.5
KH 500-33A,35-40 bags per acre,37.5,3375,1200-1600,120-140,130
WH 505,30 bags per acre,30,2700,1200-1600,120-150,135
KH 500-13A,35-40 bags per acre,37.5,3375,1200-1600,120-140,130
WH 403,30-35 bags per acre,32.5,2925,1200-1600,120-135,127.5
WH 402,40 bags per acre,40,3600,1200-1600,130-160,145
