,alpha,lambda,dekad
0,5.969902370430676,0.2470346804917324,1
1,4.776927853195551,0.23538156396056711,2
2,5.162677045204434,0.25123522249715247,3
3,5.42520640433756,0.22196692981422567,4
4,4.846748577339506,0.23782058835081102,5
5,5.759915256969137,0.2524547346922744,6
6,6.1548391996591985,0.3172243823887514,7
7,5.641470779191364,0.32833549349986246,8
8,7.06905246481227,0.42092808609245513,9
9,6.33344616355596,0.518458950289986,10
10,6.147569326643319,0.5987058638702328,11
11,5.950089819689538,0.5962367280677637,12
12,5.275259699308968,0.5493231478208501,13
13,3.9700674845281956,0.4196935181912206,14
14,3.4457994390050626,0.31228611078381313,15
15,4.465645751489686,0.28636018485788717,16
16,6.273698278674567,0.2653725305368996,17
17,3.6222984986358027,0.2542614194257884,18
18,5.304604516291173,0.2517922836233193,19
19,5.661604042154325,0.27277993794430694,20
20,6.671351434910315,0.27401450584554154,21
21,7.157393413490874,0.27648364164801065,22
22,6.763018550494317,0.2777182095492452,23
23,6.420333017210103,0.3110515428825785,24
24,7.349850130171754,0.29500216016652914,25
25,4.646031145374933,0.2766942354309159,26
26,4.072586429382929,0.2851256169566526,27
27,3.512079303122988,0.3471515901898776,28
28,4.320724092524695,0.38389104905541804,29
29,5.620278640704068,0.5159898144875168,30
30,5.438271940086016,0.5814219132529489,31
31,5.540258786050767,0.5900638885615909,32
32,4.767341561620295,0.5308046293023316,33
33,4.235522333940743,0.4974712959689983,34
34,4.087417876323976,0.41228611078381316,35
35,4.722195913109484,0.3172243823887514,36
36,4.207967146289527,0.3096705835306047,37
