,alpha,lambda,dekad
0,11.263405456492402,0.03480813793645185,1
1,10.070430939257278,0.023155021405286552,2
2,10.45618013126616,0.039008679941871904,3
3,10.718709490399286,0.00974038725894509,4
4,10.140251663401232,0.025594045795530457,5
5,11.053418343030863,0.04022819213699386,6
6,11.448342285720924,0.10499783983347083,7
7,10.93497386525309,0.11610895094458193,8
8,12.362555550873996,0.20870154353717454,9
9,11.626949249617686,0.3062324077347054,10
10,11.441072412705045,0.38647932131495233,11
11,11.243592905751264,0.3840101855124832,12
12,10.568762785370694,0.3370966052655696,13
13,9.263570570589922,0.20746697563594,14
14,8.739302525066789,0.10005956822853257,15
15,9.759148837551411,0.07413364230260663,16
16,11.567201364736293,0.053145987981618986,17
17,8.91580158469753,0.04203487687050786,18
18,10.598107602352899,0.03956574106803873,19
19,10.955107128216051,0.060553395389026377,20
20,11.964854520972041,0.061787963290260955,21
21,12.4508964995526,0.06425709909273009,22
22,12.056521636556043,0.06549166699396466,23
23,11.713836103271829,0.09882500032729799,24
24,12.64335321623348,0.0827756176112486,25
25,9.93953423143666,0.06446769287563536,26
26,9.366089515444655,0.07289907440137205,27
27,8.805582389184714,0.13492504763459706,28
28,9.614227178586422,0.1716645065001375,29
29,10.913781726765794,0.3037632719322363,30
30,10.731775026147742,0.3691953706976684,31
31,10.833761872112493,0.37783734600631036,32
32,10.060844647682021,0.3185780867470511,33
33,9.529025420002469,0.2852447534137177,34
34,9.380920962385702,0.20005956822853257,35
35,10.01569899917121,0.10499783983347083,36
36,9.501470232351252,0.09744404097532414,37
