,alpha,lambda,dekad
0,8.616653913461539,0.14092140921409213,1
1,7.423679396226414,0.12926829268292683,2
2,7.809428588235297,0.14512195121951219,3
3,8.071957947368423,0.11585365853658537,4
4,7.493500120370369,0.13170731707317074,5
5,8.4066668,0.14634146341463414,6
6,8.801590742690061,0.2111111111111111,7
7,8.288222322222227,0.2222222222222222,8
8,9.715804007843133,0.3148148148148148,9
9,8.980197706586823,0.4123456790123457,10
10,8.794320869674182,0.4925925925925926,11
11,8.5968413627204,0.4901234567901235,12
12,7.922011242339831,0.44320987654320987,13
13,6.616819027559059,0.3135802469135803,14
14,6.092550982035926,0.20617283950617285,15
15,7.112397294520549,0.18024691358024691,16
16,8.92044982170543,0.15925925925925927,17
17,6.269050041666666,0.14814814814814814,18
18,7.951356059322036,0.145679012345679,19
19,8.308355585185188,0.16666666666666666,20
20,9.318102977941178,0.16790123456790124,21
21,9.804144956521737,0.17037037037037037,22
22,9.40977009352518,0.17160493827160495,23
23,9.067084560240966,0.20493827160493827,24
24,9.996601673202617,0.18888888888888888,25
25,7.292782688405796,0.17058096415327564,26
26,6.719337972413792,0.17901234567901234,27
27,6.158830846153851,0.24103831891223734,28
28,6.967475635555558,0.2777777777777778,29
29,8.267030183734931,0.40987654320987654,30
30,8.08502348311688,0.47530864197530864,31
31,8.18701032908163,0.4839506172839506,32
32,7.414093104651158,0.4246913580246914,33
33,6.882273876971606,0.391358024691358,34
34,6.734169419354839,0.30617283950617286,35
35,7.368947456140347,0.2111111111111111,36
36,6.85471868932039,0.20355731225296442,37
