,kc,LAI,stress,R,s,E,ET,T,L,dsdt,dos,doy
60,0.3,0.75,0.34662053516479313,0.0,0.6328137796945666,0.9929115285252765,1.4864176710591963,0.4935061425339198,0.0,-1.4864176710591963,1.0,60
61,0.3,0.75,0.3843654583672816,0.0,0.6250069641953062,0.938780061944342,1.3948134900818117,0.45603342813746967,0.0,-1.3948134900818117,2.0,61
62,0.3,0.75,0.4215579576228721,1.79630795547366,0.6176812630919354,0.9533015983116419,1.4194567356606707,0.46615513734902886,0.0,0.3768512198129894,3.0,62
63,0.3,0.75,0.4113399625615222,0.0,0.6196605237001969,0.902296441218392,1.3326669549793368,0.4303705137609448,0.0,-1.3326669549793368,4.0,63
64,0.3,0.75,0.4480362634648465,0.0,0.6126612224660617,0.8552683542707641,1.25204222210786,0.396773867837096,0.0,-1.25204222210786,5.0,64
65,0.3,0.75,0.4839407738930604,0.0,0.6060853704591926,0.8118565196732507,1.1770662978773752,0.36520977820412454,0.0,-1.1770662978773752,6.0,65
66,0.3,0.75,0.5189571441097781,0.0,0.5999032995669795,0.7717375440933035,1.107273382014805,0.33553583792150155,0.0,-1.107273382014805,7.0,66
67,0.3,0.75,0.5530136084962483,0.0,0.5940877881068177,0.7346210974164994,1.0422424803292243,0.30762138291272495,0.0,-1.0422424803292243,8.0,67
68,0.3,0.75,0.586058684635626,0.0,0.5886138255000466,0.7002461153115473,0.9815924777117708,0.28134636240022354,0.0,-0.9815924777117708,9.0,68
69,0.3,0.75,0.6180575907342475,0.0,0.583458402822989,0.6683774855433321,0.9249778190936792,0.25660033355034706,0.0,-0.9249778190936792,10.0,69
70,0.3,0.75,0.648989258725995,0.0,0.5786003260420348,0.6388031503495747,0.8720847153513417,0.233281565001767,0.0,-0.8720847153513417,11.0,70
71,0.3,0.75,0.6788438422653383,0.0,0.5740200491756937,0.6113315675075844,0.8226278035509141,0.2112962360433297,0.0,-0.8226278035509141,12.0,71
72,0.3,0.75,0.7076206365812412,0.0,0.5696995249973801,0.5857894813319346,0.7763472013193589,0.19055771998742424,0.0,-0.7763472013193589,13.0,72
73,0.3,0.75,0.7353263416439303,0.0,0.565622071208938,0.5620199620611697,0.7330059038640722,0.17098594180290244,0.0,-0.7330059038640722,14.0,73
74,0.3,0.75,0.7619736119287923,0.0,0.5617722502852822,0.5398806781548432,0.6923874795241977,0.1525068013693545,0.0,-0.6923874795241977,15.0,74
75,0.3,0.75,0.7875798457550632,0.0,0.558135761422235,0.5192423711292853,0.654294025956013,0.13505165482672776,0.0,-0.654294025956013,16.0,75
76,0.3,0.75,0.812166175137474,0.0,0.5546993432186845,0.4999875068732677,0.6185443543229533,0.11855684744968559,0.0,-0.6185443543229533,17.0,76
77,0.3,0.75,0.8357566236417614,0.0,0.5514506858955598,0.4820090810357084,0.5849723733343952,0.10296329229868685,0.0,-0.5849723733343952,18.0,77
78,0.3,0.75,0.8583774051409746,0.0,0.5483783520019968,0.46520955917574036,0.5534256487853249,0.08821608960958453,0.0,-0.5534256487853249,19.0,78
79,0.3,0.75,0.8800563408391395,0.0,0.5454717046869478,0.44949993500066165,0.5237641174980111,0.07426418249734947,0.0,-0.5237641174980111,20.0,79
80,0.3,0.75,0.9008223756318796,0.0,0.5427208427252986,0.434798892263758,0.4958589373451913,0.06106004508143332,0.0,-0.4958589373451913,21.0,80
81,0.3,0.75,0.9207051779476237,0.0,0.5401165415837798,0.4210320578132874,0.46959145741543007,0.04855939960214268,0.0,-0.46959145741543007,22.0,81
82,0.3,0.75,0.9397348097697121,0.314998298799644,0.5376501998956735,0.4167702725195776,0.46143236560199485,0.04466209308241726,0.0,-0.14643406680235083,23.0,82
83,0.3,0.75,0.9457086882653252,10.801364890380833,0.536881113410367,0.7316050335339659,1.0369376944679505,0.30533266093398465,0.0,9.764427195912884,24.0,83
84,0.3,0.75,0.5888114755281451,0.0,0.5881648696914221,0.6974512359640709,0.9766426104828969,0.27919137451882603,0.0,-0.9766426104828969,25.0,84
85,0.3,0.75,0.620720579761775,0.0,0.5830354442161968,0.6657849630454886,0.9203550952832331,0.2545701322377445,0.0,-0.9203550952832331,26.0,85
86,0.3,0.75,0.6515612079481805,2.631660101526271,0.5782016464468521,0.7215927996532908,1.019305074905566,0.2977122752522753,0.0,1.612355026620705,27.0,86
87,0.3,0.75,0.5980244556744716,0.0,0.5866698976370869,0.6881715093111946,0.9601870179692116,0.2720155086580169,0.0,-0.9601870179692116,28.0,87
88,0.30357142857142855,0.75,0.6296301977884798,10.364872787544323,0.5816268985931309,1.0157464761747137,1.5248549033934475,0.5091084272187337,0.0,8.840017884150875,29.0,88
89,0.3214285714285714,0.75,0.36939378633965714,10.893346381766431,0.6280555639510661,1.3817819056214775,2.1270707902781854,0.745288884656708,0.0,8.766275591488245,30.0,89
90,0.33928571428571425,0.75,0.17944737274148345,0.0,0.6740969273517396,1.2954183828723391,1.9870836341606894,0.6916652512883502,0.0,-1.9870836341606894,31.0,90
91,0.3571428571428571,0.75,0.21655783091731143,0.0,0.6636605637269462,1.2164347062426852,1.8580054121320266,0.6415707058893414,0.0,-1.8580054121320266,32.0,91
92,0.37499999999999994,0.75,0.25441075726626194,19.16350672980615,0.6539021319405385,1.957059583190711,3.034903431542425,1.077843848351714,0.0,16.128603298263727,33.0,92
93,0.3928571428571428,0.75,0.027408546925726293,5.423046965330476,0.7386111828767976,2.068144086678499,3.206193234201341,1.1380491475228423,0.0,2.2168537311291354,34.0,93
94,0.41071428571428564,0.75,0.014156885544548544,0.0,0.7502543222209632,1.9194804839551063,2.9767012306157294,1.0572207466606234,0.0,-2.9767012306157294,35.0,94
95,0.4285714285714285,0.75,0.03294894814606222,0.0,0.7346203871862167,1.784806863489948,2.766984721983788,0.98217785849384,0.0,-2.766984721983788,36.0,95
96,0.4464285714285714,0.75,0.05743134718178244,0.0,0.7200879044026884,1.6625842869965437,2.575006228129448,0.9124219411329043,0.0,-2.575006228129448,37.0,96
97,0.4642857142857142,0.75,0.08628621425756558,14.281490896258997,0.706563712028059,2.198883894401657,3.3988838944016573,1.2,0.0,10.882607001857341,38.0,97
98,0.4821428571428571,0.75,0.004240478218209917,0.0,0.7637202614075619,2.038067838495457,3.1599250932517537,1.1218572547562968,0.0,-3.1599250932517537,39.0,98
99,0.4999999999999999,0.75,0.01729328500475713,17.18784136724913,0.7471240161698951,2.7273056735092385,3.927305673509238,1.2,1.5361764751159432,11.724359218623949,40.0,99
100,0.5178571428571428,0.75,0.0,0.0,0.8087015330744327,2.4509548774592242,3.650954877459224,1.2,0.0,-3.650954877459224,41.0,100
101,0.5357142857142856,0.75,0.0,0.0,0.7895263498944998,2.2718468631573216,3.471846863157322,1.2,0.0,-3.471846863157322,42.0,101
102,0.5535714285714285,0.75,0.001213307217485363,0.0,0.7712918600669928,2.105780334706102,3.2639812630276674,1.1582009283215653,0.0,-3.2639812630276674,43.0,102
103,0.5714285714285714,0.75,0.01069230339059179,1.1411142827123302,0.7541491013326038,2.0063282799465125,3.111011553302145,1.1046832733556324,0.0,-1.9698972705898148,44.0,103
104,0.5892857142857142,0.75,0.020963562369827955,0.0,0.7438030022223632,1.8635122082332247,2.889766618900568,1.026254410667343,0.0,-2.889766618900568,45.0,104
105,0.607142857142857,0.75,0.042229170663586446,11.627582592858976,0.7286256565348602,2.273401342658908,3.4734013426589083,1.2,0.0,8.154181250200068,46.0,105
106,0.6249999999999999,0.75,0.0011690275633099644,9.744797344041249,0.7714522387312892,2.5838947499455953,3.7838947499455955,1.2,0.21323464399267622,5.7476679501029775,47.0,106
107,0.6428571428571428,0.75,0.0,0.0,0.8016395704019982,2.384465444469518,3.584465444469518,1.2,0.0,-3.584465444469518,48.0,107
108,0.6607142857142856,0.75,0.0,1.5552155589350465,0.782813596428944,2.285281720323368,3.4852817203233677,1.2,0.0,-1.9300661613883212,49.0,108
109,0.6785714285714284,0.75,0.0008580928971332191,0.0,0.7726766943208121,2.118244452768474,3.283092585508372,1.1648481327398978,0.0,-3.283092585508372,50.0,109
110,0.6964285714285713,0.75,0.009656158807312408,1.2498906438316149,0.7554335609935623,2.0227699804182824,3.136360921351203,1.113590940932921,0.0,-1.8864702775195883,51.0,110
111,0.7142857142857142,0.75,0.01901571624385782,88.87771707942044,0.7455256288637325,7.132834719299901,8.332834719299901,1.2,66.8204613343013,13.72442102581924,52.0,111
112,0.732142857142857,0.75,0.0,9.245334897997001,0.8176076720665647,3.014076938347457,4.214076938347457,1.2,4.732924898941507,0.2983330607080372,53.0,112
113,0.7499999999999999,0.75,0.0,3.984663911484575,0.8191745473854094,2.753871590637622,3.953871590637622,1.2,1.8022913465117816,-1.7714990256648282,54.0,113
114,0.7678571428571428,0.75,0.0,15.77808035331247,0.8098704558640605,3.287323385372453,4.487323385372453,1.2,8.347401206839058,2.9433557611009586,55.0,114
115,0.7857142857142856,0.75,0.0,5.368582196751319,0.825329257130347,2.8869086768092043,4.086908676809204,1.2,3.229803271243803,-1.9481297513016882,56.0,115
116,0.8035714285714284,0.75,0.0,0.0,0.8150974832264516,2.5116974833158636,3.711697483315864,1.2,0.0,-3.711697483315864,57.0,116
117,0.8214285714285712,0.75,0.0,19.959642330314278,0.7956032737552549,3.367911154090613,4.567911154090613,1.2,9.494315824141367,5.897415352082298,58.0,117
118,0.8392857142857142,0.75,0.0,0.0,0.8265770938817375,2.62195537925407,3.82195537925407,1.2,0.545433733735979,-4.367389112990049,59.0,118
119,0.857142857142857,0.75,0.0,0.0,0.8036391258513276,2.4032296567319125,3.603229656731912,1.2,0.0,-3.603229656731912,60.0,119
120,0.875,0.75,0.0,0.0,0.7847146003432818,2.227617698675338,3.4276176986753377,1.2,0.0,-3.4276176986753377,61.0,120
121,0.8928571428571428,0.75,0.002824962236050053,0.0,0.766712406547718,2.064738278395203,3.200957829824249,1.1362195514290463,0.0,-3.200957829824249,62.0,121
122,0.9107142857142856,0.75,0.014495530806235392,0.0,0.7499006532398175,1.9163979553649482,2.971921090916072,1.0555231355511236,0.0,-2.971921090916072,63.0,122
123,0.9285714285714284,0.75,0.033427797680028175,0.0,0.7342918239808045,1.7820117391487673,2.762612494256629,0.9806007551078615,0.0,-2.762612494256629,64.0,123
124,0.9464285714285714,0.75,0.05801873347061025,5.98187956359857,0.7197823045781961,1.9277287076230754,2.9894874560756914,1.061758748452616,0.0,2.9923921075228783,65.0,124
125,0.9642857142857142,0.75,0.03168592288381102,0.0,0.7354986496807323,1.7922855064314627,2.7786790248989774,0.9863935184675149,0.0,-2.7786790248989774,66.0,125
126,0.982142857142857,0.75,0.05587598238211568,6.479683443347718,0.720904747239036,1.9604466916680254,3.0401428425334074,1.079696150865382,0.0,3.439540600814311,67.0,126
127,0.9999999999999998,0.75,0.026935950373759572,0.0,0.7389695613189431,1.821943047915968,2.8249969422468943,1.0030538943309266,0.0,-2.8249969422468943,68.0,127
128,1.0178571428571428,0.75,0.04993903307612345,0.0,0.7241323925046211,1.6963089487959135,2.628144432818095,0.9318354840221813,0.0,-2.628144432818095,69.0,128
129,1.0357142857142856,0.75,0.07766452010312783,0.9887409390501668,0.7103291129204925,1.624784763991613,2.5152907481709055,0.8905059841792925,0.0,-1.5265498091207386,70.0,129
130,1.0535714285714284,0.75,0.09656800032379213,24.161723912616498,0.7023115193851945,2.6474783047509005,3.8474783047509007,1.2,0.7758919573476186,19.53835365051798,71.0,130
131,1.0714285714285712,0.75,0.0,1.0267768278311686,0.8049289230118646,2.4662943680311167,3.6662943680311164,1.2,0.0,-2.6395175401999476,72.0,131
132,1.0892857142857142,0.75,0.0,0.0,0.7910659107208985,2.286059463874391,3.4860594638743914,1.2,0.0,-3.4860594638743914,73.0,132
133,1.107142857142857,0.75,0.000839428961940734,0.0,0.7727567748812221,2.118965962728605,3.284198482158471,1.1652325194298658,0.0,-3.284198482158471,74.0,133
134,1.1249999999999998,0.75,0.009597859695537177,0.0,0.7555078332732469,1.9654632690908693,3.0479008688024543,1.082437599711585,0.0,-3.0479008688024543,75.0,134
135,1.1428571428571428,0.75,0.02624406407564223,10.431782074882378,0.7394999505589482,2.3159066370677195,3.5159066370677197,1.2,0.0,6.915875437814658,76.0,135
136,1.1607142857142856,0.75,0.0002791805544279818,3.299332501979863,0.7758228257575547,2.305357547977268,3.505357547977268,1.2,0.0,-0.2060250459974049,77.0,136
137,1.1785714285714284,0.75,0.0004425534436383973,0.0,0.7747407614403414,2.1368674142222295,3.311623069135868,1.1747556549136386,0.0,-3.311623069135868,78.0,137
138,1.1964285714285712,0.75,0.008209966861618083,2.598244070924333,0.7573477831360564,2.103102875251539,3.25987418567245,1.156771310420911,0.0,-0.661630114748117,79.0,138
139,1.2,0.75,0.010922059969516652,0.0,0.7538728350543962,1.9511136307465238,3.0257032390076253,1.0745896082611015,0.0,-3.0257032390076253,80.0,139
140,1.2,0.75,0.028248820357811427,0.0,0.7379815365301965,1.8134842618863973,2.81179563723134,0.998311375344943,0.0,-2.81179563723134,81.0,140
141,1.2,0.75,0.05159493770167803,15.992677569984856,0.7232137023010403,2.436850357515019,3.6368503575150193,1.2,0.0,12.355827212469837,82.0,141
142,1.2,0.75,0.0,0.0,0.7881077527867012,2.2587771308205573,3.4587771308205575,1.2,0.0,-3.4587771308205575,83.0,142
143,1.2,0.75,0.0016186439140121098,3.374370407243924,0.7699419065113832,2.2546979874108954,3.4546979874108956,1.2,0.0,-0.08032758016697183,84.0,143
144,1.2,0.75,0.0017572803769107066,0.0,0.7695200179600861,2.0898687723019327,3.2395648585103456,1.149696086208413,0.0,-3.2395648585103456,85.0,144
145,1.2,0.75,0.012095163436354785,0.0,0.7525054966443805,1.9391400632190883,3.0071664471121142,1.0680263838930262,0.0,-3.0071664471121142,86.0,145
146,1.2,0.75,0.02998223122288343,9.820284124342246,0.7367115552204724,2.260442618635716,3.4604426186357156,1.2,0.0,6.35984150570653,87.0,146
