,kc,LAI,stress,R,s,E,ET,T,L,dsdt,dos,doy
60,0.3,0.75,1.0,0.0,0.4893216646052884,0.18459265221062224,0.18459265221062224,0.0,0.0,-0.18459265221062224,1.0,60
61,0.3,0.75,1.0,0.0,0.4883521653814931,0.1807337883034558,0.1807337883034558,0.0,0.0,-0.1807337883034558,2.0,61
62,0.3,0.75,1.0,0.0,0.4874029333000674,0.17698201322080273,0.17698201322080273,0.0,0.0,-0.17698201322080273,3.0,62
63,0.3,0.75,1.0,0.0,0.48647340591970606,0.17333363020280115,0.17333363020280115,0.0,0.0,-0.17333363020280115,4.0,63
64,0.3,0.75,1.0,0.0,0.4855630402148594,0.16978509483235119,0.16978509483235119,0.0,0.0,-0.16978509483235119,5.0,64
65,0.3,0.75,1.0,0.0,0.48467131177561384,0.1663330077503384,0.1663330077503384,0.0,0.0,-0.1663330077503384,6.0,65
66,0.3,0.75,1.0,0.0,0.48379771404583266,0.16297410776675378,0.16297410776675378,0.0,0.0,-0.16297410776675378,7.0,66
67,0.3,0.75,1.0,0.0,0.48294175759747787,0.15970526534364332,0.15970526534364332,0.0,0.0,-0.15970526534364332,8.0,67
68,0.3,0.75,1.0,0.0,0.4821029694391604,0.15652347642743691,0.15652347642743691,0.0,0.0,-0.15652347642743691,9.0,68
69,0.3,0.75,1.0,0.0,0.48128089235708355,0.15342585660970187,0.15342585660970187,0.0,0.0,-0.15342585660970187,10.0,69
70,0.3,0.75,1.0,0.0,0.4804750842866544,0.15040963559675607,0.15040963559675607,0.0,0.0,-0.15040963559675607,11.0,70
71,0.3,0.75,1.0,0.0,0.47968511771314204,0.14747215196986346,0.14747215196986346,0.0,0.0,-0.14747215196986346,12.0,71
72,0.3,0.75,1.0,0.0,0.47891057909985496,0.14461084821892928,0.14461084821892928,0.0,0.0,-0.14461084821892928,13.0,72
73,0.3,0.75,1.0,0.0,0.4781510683424026,0.14182326603372183,0.14182326603372183,0.0,0.0,-0.14182326603372183,14.0,73
74,0.3,0.75,1.0,0.0,0.4774061982476877,0.1391070418376802,0.1391070418376802,0.0,0.0,-0.1391070418376802,15.0,74
75,0.3,0.75,1.0,0.0,0.47667559403635534,0.1364599025503219,0.1364599025503219,0.0,0.0,-0.1364599025503219,16.0,75
76,0.3,0.75,1.0,0.0,0.4759588928674986,0.13387966156515896,0.13387966156515896,0.0,0.0,-0.13387966156515896,17.0,76
77,0.3,0.75,1.0,0.0,0.4752557433844883,0.13136421493085648,0.13136421493085648,0.0,0.0,-0.13136421493085648,18.0,77
78,0.3,0.75,1.0,0.0,0.47456580528085984,0.12891153772414174,0.12891153772414174,0.0,0.0,-0.12891153772414174,19.0,78
79,0.3,0.75,1.0,0.0,0.47388874888524984,0.12651968060368787,0.12651968060368787,0.0,0.0,-0.12651968060368787,20.0,79
80,0.3,0.75,1.0,0.0,0.47322425476443214,0.12418676653486775,0.12418676653486775,0.0,0.0,-0.12418676653486775,21.0,80
81,0.3,0.75,1.0,0.0,0.47257201334355575,0.12191098767589482,0.12191098767589482,0.0,0.0,-0.12191098767589482,22.0,81
82,0.3,0.75,1.0,0.0,0.47193172454273696,0.11969060241645062,0.11969060241645062,0.0,0.0,-0.11969060241645062,23.0,82
83,0.3,0.75,1.0,0.0,0.4713030974292052,0.11752393256044238,0.11752393256044238,0.0,0.0,-0.11752393256044238,24.0,83
84,0.3,0.75,1.0,4.202633881949945,0.4706858498842449,0.19848907243300265,0.19848907243300265,0.0,0.0,4.004144809516942,25.0,84
85,0.3,0.75,1.0,0.0,0.49171602220313637,0.19423845952726929,0.19423845952726929,0.0,0.0,-0.19423845952726929,26.0,85
86,0.3,0.75,1.0,0.0,0.4906958622266276,0.1901086724035455,0.1901086724035455,0.0,0.0,-0.1901086724035455,27.0,86
87,0.3,0.75,1.0,0.0,0.48969739230854176,0.1860954392863244,0.1860954392863244,0.0,0.0,-0.1860954392863244,28.0,87
88,0.30357142857142855,0.75,1.0,0.0,0.48872000029548335,0.1821946686711266,0.1821946686711266,0.0,0.0,-0.1821946686711266,29.0,88
89,0.3214285714285714,0.75,1.0,0.0,0.48776309552305097,0.17840244049816295,0.17840244049816295,0.0,0.0,-0.17840244049816295,30.0,89
90,0.33928571428571425,0.75,1.0,0.0,0.48682610791539255,0.17471499781707392,0.17471499781707392,0.0,0.0,-0.17471499781707392,31.0,90
91,0.3571428571428571,0.75,1.0,0.0,0.4859084871285382,0.17112873891218547,0.17112873891218547,0.0,0.0,-0.17112873891218547,32.0,91
92,0.37499999999999994,0.75,1.0,0.0,0.48500970173509184,0.16764020985982325,0.16764020985982325,0.0,0.0,-0.16764020985982325,33.0,92
93,0.3928571428571428,0.75,1.0,0.0,0.4841292384480129,0.16424609749116978,0.16424609749116978,0.0,0.0,-0.16424609749116978,34.0,93
94,0.41071428571428564,0.75,1.0,0.0,0.48326660138135763,0.16094322273594525,0.16094322273594525,0.0,0.0,-0.16094322273594525,35.0,94
95,0.4285714285714285,0.75,1.0,0.0,0.48242131134597976,0.15772853432385767,0.15772853432385767,0.0,0.0,-0.15772853432385767,36.0,95
96,0.4464285714285714,0.75,1.0,0.0,0.48159290517831244,0.15459910282231148,0.15459910282231148,0.0,0.0,-0.15459910282231148,37.0,96
97,0.4642857142857142,0.75,1.0,0.9049702807401883,0.48078093510046416,0.16967203069579562,0.16967203069579562,0.0,0.0,0.7352982500443926,38.0,97
98,0.4821428571428571,0.75,1.0,0.0,0.48464279565742,0.16622300575693635,0.16622300575693635,0.0,0.0,-0.16622300575693635,39.0,98
99,0.4999999999999999,0.75,1.0,0.0,0.4837697756692008,0.16286706474303975,0.16286706474303975,0.0,0.0,-0.16286706474303975,40.0,99
100,0.5178571428571428,0.75,1.0,0.0,0.4829143814216008,0.15960108226652087,0.15960108226652087,0.0,0.0,-0.15960108226652087,41.0,100
101,0.5357142857142856,0.75,1.0,2.388725650586883,0.48207614044331026,0.20616312431306438,0.20616312431306438,0.0,0.0,2.1825625262738186,42.0,101
102,0.5535714285714285,0.75,1.0,0.0,0.4935391789216391,0.20169219874626207,0.20169219874626207,0.0,0.0,-0.20169219874626207,43.0,102
