,kc,LAI,stress,R,s,E,ET,T,L,dsdt,dos,doy
0,0.3,0.75,0.896766798042231,0.0,0.5432555705457055,0.4376437897620463,0.5012705283814326,0.06362673861938628,0.0,-0.5012705283814326,0.0,60
1,0.3,0.75,0.9168227406572946,0.0,0.5406228471823576,0.4236969118318634,0.47468657830718,0.050989666475316574,0.0,-0.47468657830718,0.0,61
2,0.3,0.75,0.936019520921467,0.0,0.5381297454055343,0.4106292080911871,0.4496519860377514,0.03902277794656434,0.0,-0.4496519860377514,0.0,62
3,0.3,0.75,0.9543873181244924,0.0,0.5357681278318066,0.39837717784171484,0.4260641914343864,0.027687013592671582,0.0,-0.4260641914343864,0.0,63
4,0.3,0.75,0.9719562532331162,0.0,0.5335303957339369,0.3868825690790084,0.4038284686019054,0.016945899522897,0.0,-0.4038284686019054,0.0,64
5,0.3,0.75,0.9887562015367541,0.45458056338796343,0.5314094478946412,0.3882458960975291,0.40647126019486446,0.018225364097335373,0.0,0.04810930319309897,0.0,65
6,0.3,0.75,0.9867472199846187,0.0,0.5316621228063696,0.377372071245588,0.38535026071616196,0.007978189470573938,0.0,-0.38535026071616196,0.0,66
7,0.3,0.75,1.0,0.0,0.5296382243782385,0.3671587864098728,0.3671587864098728,0.0,0.0,-0.3671587864098728,0.0,67
8,0.3,0.75,1.0,0.0,0.5277098694075985,0.35751493141194374,0.35751493141194374,0.0,0.0,-0.35751493141194374,0.0,68
9,0.3,0.75,1.0,0.0,0.525832164935897,0.348206966744156,0.348206966744156,0.0,0.0,-0.348206966744156,0.0,69
10,0.3,0.75,1.0,0.0,0.5240033468332491,0.33922035811409773,0.33922035811409773,0.0,0.0,-0.33922035811409773,0.0,70
11,0.3,0.75,1.0,0.0,0.5222217273053389,0.33054132101757,0.33054132101757,0.0,0.0,-0.33054132101757,0.0,71
12,0.3,0.75,1.0,0.0,0.5204856909554567,0.3221567759175699,0.3221567759175699,0.0,0.0,-0.3221567759175699,0.0,72
13,0.3,0.75,1.0,0.0,0.5187936910819401,0.31405430646407545,0.31405430646407545,0.0,0.0,-0.31405430646407545,0.0,73
14,0.3,0.75,1.0,0.0,0.517144246195049,0.306222120524196,0.306222120524196,0.0,0.0,-0.306222120524196,0.0,74
15,0.3,0.75,1.0,0.0,0.5155359367385143,0.29864901381150355,0.29864901381150355,0.0,0.0,-0.29864901381150355,0.0,75
16,0.3,0.75,1.0,0.0,0.5139674020021093,0.29132433592088053,0.29132433592088053,0.0,0.0,-0.29132433592088053,0.0,76
17,0.3,0.75,1.0,0.0,0.5124373372126089,0.28423795859112505,0.28423795859112505,0.0,0.0,-0.28423795859112505,0.0,77
18,0.3,0.75,1.0,0.0,0.510944490791437,0.2773802460320645,0.2773802460320645,0.0,0.0,-0.2773802460320645,0.0,78
19,0.3,0.75,1.0,0.0,0.5094876617681594,0.2707420271661129,0.2707420271661129,0.0,0.0,-0.2707420271661129,0.0,79
20,0.3,0.75,1.0,0.0,0.5080656973397659,0.2643145696462544,0.2643145696462544,0.0,0.0,-0.2643145696462544,0.0,80
21,0.3,0.75,1.0,0.0,0.5066774905664138,0.25808955552341306,0.25808955552341306,0.0,0.0,-0.25808955552341306,0.0,81
22,0.3,0.75,1.0,0.0,0.5053219781949673,0.2520590584461902,0.2520590584461902,0.0,0.0,-0.2520590584461902,0.0,82
23,0.3,0.75,1.0,0.0,0.5039981386022877,0.24621552228512114,0.24621552228512114,0.0,0.0,-0.24621552228512114,0.0,83
24,0.3,0.75,1.0,0.0,0.5027049898507903,0.24055174108197752,0.24055174108197752,0.0,0.0,-0.24055174108197752,0.0,84
25,0.3,0.75,1.0,0.0,0.5014415878493093,0.23506084023230317,0.23506084023230317,0.0,0.0,-0.23506084023230317,0.0,85
26,0.3,0.75,1.0,0.0,0.5002070246127951,0.22973625881640689,0.22973625881640689,0.0,0.0,-0.22973625881640689,0.0,86
27,0.3,0.75,1.0,18.612191445049998,0.49900042661480976,0.7515590182103604,1.071975976340859,0.32041695813049864,0.0,17.54021546870914,0.0,87
28,0.3,0.75,0.5707898780256594,0.0,0.591123407017694,0.7159374212119775,1.0093297748969083,0.29339235368493083,0.0,-1.0093297748969083,0.0,88
29,0.3,0.75,0.6032796341602206,0.0,0.5858223052587817,0.6829286904313541,0.9508757556735059,0.2679470652421518,0.0,-0.9508757556735059,0.0,89
30,0.3,0.75,0.6347104315248413,2.0512534276618766,0.5808282099033536,0.718940474466692,1.0146281532883825,0.29568767882169045,0.0,1.036625274373494,0.0,90
31,0.3,0.75,0.6004844518795098,0.0,0.5862726703780043,0.6857127791024578,0.9558215969168784,0.2701088178144207,0.0,-0.9558215969168784,0.0,91
32,0.3,0.75,0.6320084706866943,0.0,0.5812525989656258,0.6548940129921056,0.900906488027109,0.24601247503500348,0.0,-0.900906488027109,0.0,92
33,0.3,0.75,0.6624595985755151,10.275242181811779,0.5765209472427943,0.9766761257376506,1.459016391372268,0.4823402656346175,0.0,8.81622579043951,0.0,93
34,0.3,0.75,0.39526542961302963,0.0,0.6228246541253548,0.9238299797058951,1.369388319507598,0.44555833980170295,0.0,-1.369388319507598,0.0,94
35,0.3,0.75,0.4322668609574016,0.0,0.6156324885817225,0.8751296631625617,1.2861656083548294,0.41103594519226777,0.0,-1.2861656083548294,0.0,95
36,0.3,0.75,0.4685270140031126,0.0,0.6088774171092707,0.8301966724184258,1.208808274542925,0.3786116021244991,0.0,-1.208808274542925,0.0,96
